dspfilters_fastfir_second-p20.btor Timeout
cal84.btor 58.76
pc_sfifo_2.cil-1+token_ring.13.cil-1.btor 79.99
mul2.btor Timeout
picorv32_mutAX_nomem-p8.btor Timeout
zipcpu-pfcache-p16.btor 18.90
pc_sfifo_3.cil+token_ring.08.cil-2.btor 72.19
qspiflash_dualflexpress_divfive-p054.btor Timeout
cal21.btor 0.54
arbitrated_top_n2_w8_d16_e0.btor Timeout
pals_opt-floodmax.4.3.ufo.UNBOUNDED.pals.btor 849.12
qspiflash_qflexpress_divfive-p029.btor Timeout
vgasim_imgfifo-p039.btor Timeout
dspfilters_fastfir_second-p14.btor Timeout
pc_sfifo_3.cil+token_ring.04.cil-1.btor 241.26
shift_register_top_w64_d64_e0.btor Timeout
h_RCU.btor Timeout
arbitrated_top_n5_w8_d32_e0.btor Timeout
qspiflash_dualflexpress_divfive-p161.btor Timeout
a16-p102.btor Timeout
cal93.btor 266.26
yosyshq_appnote_123_cv32e40x-p733.btor Timeout
yosyshq_appnote_123_veer_axi-p31.btor 21.81
qspiflash_dualflexpress_divfive-p004.btor Timeout
picorv32_mutBX_nomem-p5.btor Timeout
circular_pointer_top_w32_d16_e0.btor Timeout
qspiflash_dualflexpress_divfive-p058.btor 614.18
qspiflash_dualflexpress_divthree-p111.btor Timeout
yosyshq_appnote_123_cv32e40x-p377.btor Timeout
analog_estimation_convergence_unsafe.btor 0.94
yosyshq_appnote_123_cv32e40x-p250.btor 57.98
zipcpu-busdelay-p45.btor 562.61
a16-p152.btor 0.61
dspfilters_fastfir_second-p30.btor Timeout
zipversa_composecrc_prf-p10.btor Timeout
shift_register_top_w16_d128_e0.btor Timeout
brp.2.prop1-func-interl.btor 372.89
picorv32_mutBY_nomem-p8.btor Timeout
rast-p16.btor Timeout
a10-p06.btor 20.09
pc_sfifo_2.cil-1+token_ring.11.cil-2.btor Timeout
qspiflash_dualflexpress_divthree-p050.btor 248.42
qspiflash_qflexpress_divfive-p057.btor 1243.03
rocket_1951.btor Timeout
qspiflash_dualflexpress_divfive-p050.btor 1137.26
arbitrated_top_n4_w64_d32_e0.btor Timeout
freire1_valuebound1.btor Timeout
Problem101_label01.btor 1290.50
zipcpu-busdelay-p18.btor 2.73
vgasim_imgfifo-p058.btor Timeout
cal90.btor 35.75
Problem05_label46+token_ring.12.cil-1.btor 152.77
collision.6.prop1-func-interl.btor Timeout
mul9.btor 26.58
vgasim_imgfifo-p047.btor 105.26
qspiflash_dualflexpress_divfive-p082.btor 1872.50
zipcpu-pfcache-p22.btor 17.43
trex02-1.btor 0.26
picorv32_mutBY_nomem-p7.btor Timeout
arbitrated_top_n3_w16_d16_e0.btor Timeout
cal142.btor 69.17
yosyshq_appnote_123_cv32e40x-p359.btor 1094.14
cal209.btor 2489.67
qspiflash_dualflexpress_divthree-p141.btor 1152.62
arbitrated_top_n5_w64_d8_e0.btor Timeout
dijkstra-u_valuebound1.btor Timeout
zipcpu-busdelay-p02.btor Timeout
cal144.btor 22.50
qspiflash_qflexpress_divfive-p058.btor 2106.95
picorv32-check-p18.btor 1.33
shift_register_top_w32_d16_e0.btor 2074.00
gen53.btor 0.32
gcd_4+newton_3_3.btor Timeout
yosyshq_appnote_123_cv32e40x-p665.btor Timeout
zipcpu-busdelay-p36.btor Timeout
yosyshq_appnote_123_cv32e40x-p315.btor Timeout
Problem18_label15.btor Timeout
cambridge.7.prop2-back-serstep.btor Timeout
zipversa_composecrc_prf-p21.btor 1.31
dspfilters_fastfir_second-p42.btor Timeout
yosyshq_appnote_123_cv32e40x-p568.btor Timeout
mul3.btor Timeout
93.c.btor Timeout
yosyshq_appnote_123_cv32e40x-p365.btor Timeout
elevator.3.prop1-back-serstep.btor 0.81
vcegar_QF_BV_itc99_b13_p10.btor 0.56
rast-p18.btor 0.56
qspiflash_qflexpress_divfive-p067.btor Timeout
paper_v3.btor 0.38
shift_register_top_w8_d128_e0.btor Timeout
qspiflash_dualflexpress_divthree-p132.btor Timeout
yosyshq_appnote_123_cv32e40x-p340.btor Timeout
yosyshq_appnote_123_cv32e40x-p281.btor Timeout
rocket_2067.btor 7.20
qspiflash_dualflexpress_divfive-p128.btor 686.31
zipcpu-busdelay-p46.btor Timeout
circular_pointer_top_w16_d64_e0.btor Timeout
arbitrated_top_n4_w8_d64_e0.btor Timeout
yosyshq_appnote_123_cv32e40x-p465.btor Timeout
yosyshq_appnote_123_cv32e40x-p266.btor Timeout
yosyshq_appnote_123_cv32e40x-p698.btor Timeout
qspiflash_dualflexpress_divfive-p136.btor Timeout
arbitrated_top_n5_w64_d64_e0.btor Timeout
cal87.btor 65.10
cal110.btor 77.02
cal122.btor 55.46
gen44.btor 0.27
vgasim_imgfifo-p020.btor 0.39
arbitrated_top_n3_w128_d128_e0.btor Timeout
yosyshq_appnote_123_cv32e40x-p220.btor 61.12
qspiflash_dualflexpress_divfive-p012.btor Timeout
qspiflash_dualflexpress_divfive-p022.btor 0.83
dspfilters_fastfir_second-p22.btor Timeout
cal119.btor 111.74
cal81.btor 2.19
zipcpu-pfcache-p15.btor 78.92
xepic_a17-p02.btor Timeout
arbitrated_top_n2_w32_d32_e0.btor Timeout
a16-p139.btor 51.17
loop3.btor Timeout
zipcpu-busdelay-p43.btor 2.37
gen31.btor 1.04
a10-p30.btor 20.22
shift_register_top_w16_d8_e0.btor 57.94
cal40.btor 0.85
qspiflash_dualflexpress_divfive-p070.btor Timeout
elevator.4.prop1-func-interl.btor 0.83
a11.btor Timeout
yosyshq_appnote_123_cv32e40x-p753.btor Timeout
yosyshq_appnote_123_veer_axi-p62.btor Timeout
shift_register_top_w16_d32_e0.btor Timeout
qspiflash_dualflexpress_divthree-p153.btor Timeout
ILA_Flute_SLTI_problem.btor Timeout
shift_register_top_w64_d32_e0.btor Timeout
qspiflash_dualflexpress_divfive-p009.btor Timeout
qspiflash_dualflexpress_divfive-p097.btor 394.78
arbitrated_top_n4_w32_d16_e0.btor Timeout
cal5.btor 0.64
qspiflash_qflexpress_divfive-p107.btor Timeout
picorv32_mutCX_nomem-p1.btor Timeout
ILA_Piccolo_BEQ_sanity.btor 469.60
phases_2-1.btor 0.32
